,Unnamed: 0,Port Name,State,Port Code,Border,Date,Measure,Value,Location,location_x,location_y,year,month,agg_month,day_of_the_week,is_week_day
1077,1077,Calexico,California,2503,US-Mexico Border,2019-02-01,Personal Vehicles,374126,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,2,278,4,1
1080,1080,Calexico,California,2503,US-Mexico Border,2019-02-01,Pedestrians,291959,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,2,278,4,1
1095,1095,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,847972,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
2755,2755,Otay Mesa,California,2506,US-Mexico Border,2018-12-01,Truck Containers Full,45618,POINT (-117.05333 32.57333),-117.05333,32.57333,2018,12,276,5,0
7085,7085,Calexico,California,2503,US-Mexico Border,2018-07-01,Personal Vehicle Passengers,667792,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2018,7,271,6,0
9113,9113,Calexico East,California,2507,US-Mexico Border,2018-04-01,Rail Containers Empty,787,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2018,4,268,6,0
9237,9237,Otay Mesa,California,2506,US-Mexico Border,2018-04-01,Trucks,81570,POINT (-117.05333 32.57333),-117.05333,32.57333,2018,4,268,6,0
11841,11841,San Ysidro,California,2504,US-Mexico Border,2018-01-01,Bus Passengers,4676,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2018,1,265,0,1
13526,13526,Otay Mesa,California,2506,US-Mexico Border,2017-10-01,Trains,40,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,10,262,6,0
13631,13631,San Ysidro,California,2504,US-Mexico Border,2017-10-01,Pedestrians,743024,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,10,262,6,0
13708,13708,Otay Mesa,California,2506,US-Mexico Border,2017-10-01,Buses,2690,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,10,262,6,0
14261,14261,Calexico East,California,2507,US-Mexico Border,2017-10-01,Buses,308,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,10,262,6,0
15344,15344,Otay Mesa,California,2506,US-Mexico Border,2017-08-01,Trains,58,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,8,260,1,1
15961,15961,San Ysidro,California,2504,US-Mexico Border,2017-07-01,Buses,2968,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,7,259,5,0
17051,17051,Calexico East,California,2507,US-Mexico Border,2017-06-01,Train Passengers,21,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,6,258,3,1
17281,17281,Andrade,California,2502,US-Mexico Border,2017-06-01,Personal Vehicle Passengers,93887,POINT (-114.63402 32.7394),-114.63401999999999,32.7394,2017,6,258,3,1
17385,17385,Otay Mesa,California,2506,US-Mexico Border,2017-06-01,Train Passengers,36,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,6,258,3,1
17394,17394,Andrade,California,2502,US-Mexico Border,2017-06-01,Personal Vehicles,46489,POINT (-114.63402 32.7394),-114.63401999999999,32.7394,2017,6,258,3,1
17396,17396,San Ysidro,California,2504,US-Mexico Border,2017-06-01,Personal Vehicles,1158818,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,6,258,3,1
17414,17414,San Ysidro,California,2504,US-Mexico Border,2017-06-01,Buses,2872,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,6,258,3,1
17427,17427,Calexico East,California,2507,US-Mexico Border,2017-06-01,Trains,21,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,6,258,3,1
18243,18243,Calexico,California,2503,US-Mexico Border,2017-05-01,Personal Vehicles,387673,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2017,5,257,0,1
18260,18260,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Personal Vehicle Passengers,1158713,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18275,18275,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Trucks,81147,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18283,18283,Calexico East,California,2507,US-Mexico Border,2017-05-01,Pedestrians,20553,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,5,257,0,1
18297,18297,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Buses,2830,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18307,18307,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Trains,26,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
19036,19036,Calexico East,California,2507,US-Mexico Border,2017-04-01,Bus Passengers,9120,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,4,256,5,0
19093,19093,Andrade,California,2502,US-Mexico Border,2017-04-01,Personal Vehicles,50435,POINT (-114.63402 32.7394),-114.63401999999999,32.7394,2017,4,256,5,0
19094,19094,Tecate,California,2505,US-Mexico Border,2017-04-01,Pedestrians,62603,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2017,4,256,5,0
